Route stop,Business,Address,Phone,Category,Owned website search status,Raw owned-site candidate,Search evidence
19,South City Hair,"250 Grand Avenue, South San Francisco, CA",(650) 873-6787,hairdresser,ATTEMPTED - no likely owned-site hit,,"LYNN AUTO MACHINE - Updated April 2026 - 1428 El Camino Real ...Lynn Auto Machine, 1428 El Camino Real, Redwood City, CA ...Lynn Machine Shop in Redwood City, CA 94063 - 650-369...Lynn Auto Machine in Redwood City, CA – Reviews ... - YahooLynn Auto Machine | BBB Business Profile | Better Business BureauMap and Directions to LYNN AUTO MACHINE in Redwood City, CA 94063LYNN Auto Machine Redwood City CA, 94063 – Manta.com (yelp.com) | Lynn Auto Machine, 1428 El Camino Real, Redwood City, CA ... (mapquest.com) | Lynn Machine Shop in Redwood City, CA 94063 - 650-369...Lynn Auto Machine in Redwood City, CA – Reviews ... - YahooLynn Auto Machine | BBB Business Profile | Better Business BureauMap and Directions to LYNN AUTO MACHINE in Redwood City, CA 94063LYNN Auto Machine Redwood City CA, 94063 – Manta.com (chamberofcommerce.com) | Lynn Auto Machine in Redwood City, CA – Reviews ... - Yahoo (local.yahoo.com) | Lynn Auto Machine | BBB Business Profile | Better Business BureauMap and Directions to LYNN AUTO MACHINE in Redwood City, CA 94063LYNN Auto Machine Redwood City CA, 94063 – Manta.com (bbb.org)"
20,Cafe Bunn Mi,"226 Grand Avenue, South San Francisco, CA",(650) 745-8883,restaurant,RAW HIT REVIEWED - not confirmed owned site,https://bunnmi.com/menu/,"Cafe Bunn Mi in South San Francisco, CA 94080 - 650-745... (chamberofcommerce.com) | Cafe Bunn Mi South San Francisco - mymenuweb.com (mymenuweb.com) | Cafe Bunn Mi Menu (bunnmi.com)"
21,Melissa's Taqueria,"160 Visitacion Avenue, Brisbane, CA, 94005",(415) 656-1369,restaurant,ATTEMPTED - no likely owned-site hit,,Melissa's Taqueria Brisbane CA American Restaurant opening hours... (openingtimes.co)
22,Round N Round Pot,"182 Old County Road, Brisbane, CA, 94005",(415) 715-8419,restaurant,ATTEMPTED - no likely owned-site hit,,"Wash & Dry Coin Laundry Map - Laundromat - San Mateo ... (mapcarta.com) | Company profile for Wash & Dry Coin Laundry | ProspectB2B (prospectb2b.com) | Laundromats in San Carlos, CA - The Real Yellow Pages (yellowpages.com) | Google (google.com) | WhatsApp | Secure and Reliable Free Private Messaging and Calling (whatsapp.com)"
23,Pupuseria El Golazo,"Geneva Avenue, San Francisco, California, 94112 (reverse-geocoded approximate)",(650) 759-5980,fast_food,ATTEMPTED - search error,,ERROR: No results found.
24,J&J Hardware Store,"929 Geneva Avenue, San Francisco, CA, 94112",(415) 239-8998,hardware,ATTEMPTED - search error,,ERROR: No results found.
25,Taqueria La Iguana Azul,"928 Geneva Avenue, San Francisco, CA, 94112",(415) 786-7814,restaurant,ATTEMPTED - no likely owned-site hit,,"Languren's & Lizett Beauty Salon in Redwood City, CA 94063 ...LANGUREN'S & LIZETT BEAUTY SALON - Redwood City CA - Hours ...Languren Beauty Salon - Redwood City, CA 94063Languren's & Lizett Beauty Salon - 15 Reviews - Beauty in ...Languren's & Lizett Beauty Salon - 1752 El Camino Real ...Languren's Beauty Salon & Barber Shop | Redwood City CALanguren's & Lizett Beauty Salon - 1752 El Camino Real ... (chamberofcommerce.com) | LANGUREN'S & LIZETT BEAUTY SALON - Redwood City CA - Hours ... (loc8nearme.com) | Languren Beauty Salon - Redwood City, CA 94063Languren's & Lizett Beauty Salon - 15 Reviews - Beauty in ...Languren's & Lizett Beauty Salon - 1752 El Camino Real ...Languren's Beauty Salon & Barber Shop | Redwood City CALanguren's & Lizett Beauty Salon - 1752 El Camino Real ... (yellowpages.com) | Languren's & Lizett Beauty Salon - 15 Reviews - Beauty in ...Languren's & Lizett Beauty Salon - 1752 El Camino Real ...Languren's Beauty Salon & Barber Shop | Redwood City CALanguren's & Lizett Beauty Salon - 1752 El Camino Real ... (reviews.birdeye.com) | Languren's & Lizett Beauty Salon - 1752 El Camino Real ...Languren's Beauty Salon & Barber Shop | Redwood City CALanguren's & Lizett Beauty Salon - 1752 El Camino Real ... (fresha.com)"
26,Ray Oliver Caoili D.D.S.,"5105 Mission Street, San Francisco, CA, 94112",(415) 469-7111,dentist,ATTEMPTED - search error,,ERROR: No results found.
27,Western Donuts,"5101 Mission Street, San Francisco, CA, 94112",(415) 900-6985,fast_food,ATTEMPTED - search error,,ERROR: No results found.
28,Tikal,"5099 Mission Street, San Francisco, CA, 94112",(415) 347-7125,restaurant,ATTEMPTED - no likely owned-site hit,,"Tikal Restaurante Y PanaderiaTikal | 5099 Mission St, San Francisco, CA 94112, USATikal Restaurante Y Panaderia, San Francisco - Menu, Reviews ...Tikal Restaurante Y Panaderia - Updated October 2025Tikal — restaurant in San Francisco - findit.cityTikal Restaurante Y Panaderia in San Francisco, CA - YahooTikal Restaurante Y Panaderia in San Francisco, CA United ... (yelp.com) | Tikal | 5099 Mission St, San Francisco, CA 94112, USATikal Restaurante Y Panaderia, San Francisco - Menu, Reviews ...Tikal Restaurante Y Panaderia - Updated October 2025Tikal — restaurant in San Francisco - findit.cityTikal Restaurante Y Panaderia in San Francisco, CA - YahooTikal Restaurante Y Panaderia in San Francisco, CA United ... (usarestaurants.info) | Tikal Restaurante Y Panaderia, San Francisco - Menu, Reviews ... (restaurantji.com) | Tikal Restaurante Y Panaderia - Updated October 2025 (checkle.com) | Tikal — restaurant in San Francisco - findit.city (findit.city)"
29,Taqueria Mi Sazon,"5300 Mission Street, San Francisco, CA, 94112",(415) 585-8243,restaurant,ATTEMPTED - no likely owned-site hit,,"Family Wash & Fold, 1906 El Camino Real, Redwood City, CA ... (mapquest.com) | Family Wash 1906 El Camino Real, Redwood City, CA 94063 ... (superpages.com) | FAMILY WASH - Updated May 2026 - 78 Photos & 38 Reviews ...Family Wash And Fold near San Carlos, CA 94070Family Wash - Redwood City, CA 94063 - The Real Yellow PagesFamily Wash | (650) 299-9511 | Redwood City, California - AllBizFamily Wash Redwood City CA, 94063 – Manta.comGoogle (yelp.com) | Family Wash - Redwood City, CA 94063 - The Real Yellow PagesFamily Wash | (650) 299-9511 | Redwood City, California - AllBizFamily Wash Redwood City CA, 94063 – Manta.comGoogle (yellowpages.com) | Family Wash | (650) 299-9511 | Redwood City, California - AllBiz (allbiz.com)"
30,Hayden Auto Care,"5400 Mission Street, San Francisco, CA, 94112",(415) 333-3188,car_repair,ATTEMPTED - search error,,ERROR: No results found.
31,Excelsior Auto Care,"2800 Alemany Boulevard, San Francisco, CA, 94112",(415) 586-0633,car_repair,ATTEMPTED - search error,,ERROR: No results found.
32,Patio Español,"2850 Alemany Boulevard, San Francisco, CA, 94112",(415) 587-5117,restaurant,ATTEMPTED - search error,,ERROR: No results found.
33,BeeFadezz,"6029 Mission Street, Daly City, CA, 94014-2007",(415) 909-0883,hairdresser,ATTEMPTED - search error,,ERROR: No results found.
34,Da Pan,3995 Alemany Boulevard,(698) 895-0501,fast_food,ATTEMPTED - no likely owned-site hit,,"Da Pan — restaurant in San Francisco - findit.city (findit.city) | Da Pan (H Mart) | 3995 Alemany Blvd, San Francisco, CA 94132, USADA PAN - Updated August 2024 - 141 Photos & 51 Reviews - YelpDa Pan (Alemany Boulevard) Menu, Prices, Delivery - DoorDashDA PAN - Updated September 2024 - 143 Photos & 52 Reviews ...Da Pan (H Mart), San Francisco - Menu, Reviews (54), Photos ...Online Menu of Da Pan Restaurant, San Francisco, California ... (usarestaurants.info) | DA PAN - Updated August 2024 - 141 Photos & 51 Reviews - Yelp (yelp.com) | Da Pan (Alemany Boulevard) Menu, Prices, Delivery - DoorDash (doordash.com) | DA PAN - Updated September 2024 - 143 Photos & 52 Reviews ... (yelp.ca)"
35,Hall of Flame,"73 Cambon Drive, 94132",(415) 584-4444,restaurant,ATTEMPTED - search error,,ERROR: No results found.
36,Emmy's Restaurant,"1923 Ocean Avenue, San Francisco, CA, 94127",(415) 585-8887,restaurant,ATTEMPTED - no likely owned-site hit,,"Emmy's Restaurant San Francisco CA, 94127 – Manta.com (manta.com) | Chinese Restaurants in San Francisco, CA: Chinese Restaurants in... (valleywalk.com)"
37,Mahogany House of Styles,"Ocean Avenue, San Francisco, California, 94127 (reverse-geocoded approximate)",(415) 239-5156,beauty,ATTEMPTED - no likely owned-site hit,,"Best 30 Auto Repair Service in San Carlos, CA with Reviews ... (yellowpages.com) | San Carlos White Pages - Phone Books in California (CA ...10 Best San Carlos, CA Auto Repair Shops | Mechanic Advisor79+ Best Auto Repair Shops & Maintenance Service in San ... (whitepages.com) | 10 Best San Carlos, CA Auto Repair Shops | Mechanic Advisor (mechanicadvisor.com) | 79+ Best Auto Repair Shops & Maintenance Service in San ... (ca.allpages.com) | Google Maps (maps.google.com)"
38,Java on Ocean Cafe,"1700 Ocean Avenue, San Francisco, CA, 94112",(415) 333-6075,cafe,ATTEMPTED - no likely owned-site hit,,"El Camino Body Shop in Redwood City, CA 94063 - 650-364... (chamberofcommerce.com) | EL CAMINO BODY SHOP - Redwood City CA - Hours, Directions ... (loc8nearme.com) | El Camino Auto Body Company Profile -Sales, Contacts ... (buzzfile.com) | EL CAMINO COLLISION - Updated April 2026 - 33 Reviews - 51 ...El Camino Collision - Redwood City, CA 94063El Camino Body Shop in Redwood City, CA, 94063El Camino Body Shop - 15 Reviews - Body Shops in Redwood City ... (yelp.com) | El Camino Collision - Redwood City, CA 94063El Camino Body Shop in Redwood City, CA, 94063El Camino Body Shop - 15 Reviews - Body Shops in Redwood City ... (yellowpages.com)"
39,Jolie Elegance Spa,1418 Ocean Avenue,(415) 585-2409,beauty,ATTEMPTED - no likely owned-site hit,,"Turfside Sports Grill Company Profile -Sales, Contacts ... (buzzfile.com) | Turfside Grill, Redwood City 94063, Restaurant/cafe (place123.net) | Turfside Grille Restaurant Map Location - Palo Alto, California (latlong.net) | Turfside Grill in Redwood City - Restaurant Guru (restaurantguru.com) | Turfside Grill - Facebook (facebook.com)"
40,Sakesan Sushi & Robata,"1400 Ocean Avenue, San Francisco, CA, 94112",(415) 347-7898,restaurant,ATTEMPTED - no likely owned-site hit,,1 post published by suemosushi415 during February 2020 (suemosushi.wordpress.com) | suemosushi | Sushi SF (suemosushi.wordpress.com)
41,Go Go 7,"1300 Ocean Avenue, San Francisco, CA, 94112",(415) 333-4344,restaurant,ATTEMPTED - no likely owned-site hit,,Middlefield Road Directorio de negocios | Comunidad de North Fair Oaks (dev.nfoc.nimbusdesign.com) | Link to facebook.com (facebook.com)
42,Tasty Coffee,"1818 San Jose Avenue, San Francisco, CA, 94112",(415) 585-8853,cafe,ATTEMPTED - no likely owned-site hit,,"Rocio Alvizar DDS, 3227 Middlefield Rd, Menlo Park, CA 94025 ... (mapquest.com) | Alvizar, Rocio - Menlo Park , CA - Company Information (dandb.com) | Dr. Rocio Alvizar | Redwood City, CA | Dentistry - Vitals.comSystematic LREE enrichment of mantle harzburgites: The ...#everyone #travel #spotted #fbreelsfypシ゚viral 3227 biyaheng ...Property valuation of Shoshoni Rise, San Antonio, TX: 3227 ...3227 La Mesa Dr, San Carlos, CA 94070 | Zillow (vitals.com) | #everyone #travel #spotted #fbreelsfypシ゚viral 3227 biyaheng ... (facebook.com) | Property valuation of Shoshoni Rise, San Antonio, TX: 3227 ... (city-data.com)"
43,Double Shot Coffee,"4587 Mission Street, San Francisco, CA, 94112",(415) 508-9064,cafe,ATTEMPTED - no likely owned-site hit,,"Vicos Beauty Salon in Menlo Park, CA 94025 - 650-257... (chamberofcommerce.com) | Vicos Beauty Salon | (650) 257-3165 | Menlo Park, California (bizarchive.com) | VICOS BEAUTY SALON - Menlo Park CA - Hours, Directions ... (loc8nearme.com) | Vicos Beauty Salon - Menlo Park, CA 94025 - The Real Yellow PagesVicos Beauty Salon - 3225 Middlefield Rd, Menlo Park, CA ...Vicos Beauty Salon, 3225 Middlefield Rd, Menlo Park, CA 94025 ...Google (yellowpages.com) | Vicos Beauty Salon - 3225 Middlefield Rd, Menlo Park, CA ... (bestprosintown.com)"
44,Oscar Laundromat,200 Brazil Avenue,(415) 583-1024,laundry,ATTEMPTED - no likely owned-site hit,,"Amparo’s Shoe Repair – Menlo Park, 3205 Middlefield Rd (5 ...Amparo’s Shoe Repair – Menlo Park, 3205 Middlefield Rd (5 ...Amparo’s Shoe Repair – Menlo Park, 3205 Middlefield Rd (5 ...Amparos Shoe Repair near San Carlos, CA 94070Reparación de calzado – Menlo Park, CA (Estados Unidos)3 Reports for Amparo Castellano | Anywhoassets.website-files.comMEDICAID: ORANGE ASC, LLC - HIPAASpace (unilocal.fr) | Amparo’s Shoe Repair – Menlo Park, 3205 Middlefield Rd (5 ...Amparo’s Shoe Repair – Menlo Park, 3205 Middlefield Rd (5 ...Amparos Shoe Repair near San Carlos, CA 94070Reparación de calzado – Menlo Park, CA (Estados Unidos)3 Reports for Amparo Castellano | Anywhoassets.website-files.comMEDICAID: ORANGE ASC, LLC - HIPAASpace (unilocal.de) | Amparo’s Shoe Repair – Menlo Park, 3205 Middlefield Rd (5 ...Amparos Shoe Repair near San Carlos, CA 94070Reparación de calzado – Menlo Park, CA (Estados Unidos)3 Reports for Amparo Castellano | Anywhoassets.website-files.comMEDICAID: ORANGE ASC, LLC - HIPAASpace (unilocal.com.br) | Reparación de calzado – Menlo Park, CA (Estados Unidos)3 Reports for Amparo Castellano | Anywhoassets.website-files.comMEDICAID: ORANGE ASC, LLC - HIPAASpace (unilocal.es) | 3 Reports for Amparo Castellano | Anywho (anywho.com)"
45,Tanjessy Gifts Jewelry & Accessories,9 Persia Avenue,(415) 350-9747,jewelry,RAW HIT REVIEWED - not confirmed owned site,http://www.geminisbeautysalon.com/hereright/10949/3149/,"ZESSY'S BEAUTY SALON - Redwood City CA - Hours, Directions ... (loc8nearme.com) | Zessys Beauty Salon - Beauty California (california.beautihost.com) | Zessy's Beauty Salon, 3149 Middlefield Rd, Redwood City, CA ... (mapquest.com) | www.geminisbeautysalon.com (geminisbeautysalon.com)"
46,Pacitas Salvadorean Bakery,"10 Persia Avenue, San Francisco, CA, 94112",(415) 452-8442,bakery,ATTEMPTED - search error,,ERROR: No results found.
47,Los Planes de Renderos,"12 Persia Avenue, San Francisco, CA, 94112",(415) 585-8645,restaurant,ATTEMPTED - no likely owned-site hit,,"United Paleteria: Location Insights for 3196 Middlefield Rd ... (site-selection.restaurant) | United States Inmate Search | Free Federal and State Prison ... (jailguide.com) | VIT_FDP_2026/train.csv at main · ajanthadevi2012 ... - GitHub (github.com) | directory-list-2.3-small.txt · kali/master · Kali Linux ... (gitlab.com) | Michael Witham - Age, Phone Number, Contact, Address Info ... (radaris.com)"
48,Unique Automotive,"4650 Mission Street, San Francisco, CA, 94112",(415) 586-1405,car_repair,ATTEMPTED - no likely owned-site hit,,Gonzalez Taqueria Y Cenaduria - Mexican Restaurant in Redwood City (foursquare.com)
49,TS cafe,4750;4752;4756 Mission Street,(415) 825-5231,cafe,ATTEMPTED - no likely owned-site hit,,"(650) 364-7XXX Redwood City, CA Phone Book + (650) 364-7XXX... (callersmart.com) | Villa Latina Redwood City CA, 94063 – Manta.com (manta.com) | Villa Latina, 3176 Middlefield Rd, Redwood City, CA 94063, US ... (mapquest.com) | VILLA LATINA - Updated May 2026 - 3176 Middlefield Rd ... - YelpEsperanza Vasquez - Redwood City CA Tax PreparerNotaries in San Carlos, CA - YahooVirgin Mobile Retailer - Villa Latina in Redwood City ...Esc. de Educ. Espec. N° 09 Dr. Luis R. Mac Kay - Foursquare (yelp.com) | Virgin Mobile Retailer - Villa Latina in Redwood City ... (mystore411.com)"
50,Cafe Bello,"2885 Diamond Street, San Francisco, CA",(415) 585-3457,cafe,ATTEMPTED - no likely owned-site hit,,"BELLO COFFEE & TEA - Updated May 2026 - 258 Photos & 426 ...Cafe Bello 2885 Diamond St, San Francisco, CA 94131 ...Bello Coffee & Tea in San Francisco, CA 94131 - (415) 5...Bello Coffee & Tea - Official MapQuestCafe Bello Map Location - San Francisco, California - LatLongBello Coffee & Tea - San Francisco, CABello Coffee & Tea In San Francisco, CA | Roaster Profile (yelp.com) | Cafe Bello 2885 Diamond St, San Francisco, CA 94131 ... (superpages.com) | Bello Coffee & Tea in San Francisco, CA 94131 - (415) 5... (chamberofcommerce.com) | Bello Coffee & Tea - Official MapQuest (mapquest.com) | Cafe Bello Map Location - San Francisco, California - LatLong (latlong.net)"
51,Higher Grounds Coffee House and Restaurant,"691 Chenery Street, San Francisco, CA",(415) 587-2933,restaurant,ATTEMPTED - search error,,ERROR: No results found.
52,Choice Yakiniku,"5214A Diamond Heights Boulevard, San Francisco, CA, 94131",(415) 206-9755,restaurant,ATTEMPTED - search error,,ERROR: No results found.
53,Of Barbers and Bears,"4137 1/2 24th Street, San Francisco",(510) 415-6098,hairdresser,ATTEMPTED - no likely owned-site hit,,"Hair Salons in San Francisco, CA — 589 businesses | Mainstreetly (mainstreetly.ai)"
54,Noe Bagels,"3933 24th Street, San Francisco, CA, 94114",(415) 643-9634,restaurant,ATTEMPTED - search error,,ERROR: No results found.
55,Dumpling Kitchen,"3913 24th Street, San Francisco, CA, 94114",(415) 282-4969,restaurant,ATTEMPTED - no likely owned-site hit,,"San Luis Auto Glass, 3017 Middlefield Rd, Redwood City, CA ... (mapquest.com) | SAN LUIS AUTO GLASS - Updated April 2026 - 3017 Middlefield ...San Luis Auto Glass, Redwood City, CA - 3017 ... - WhereOrgSpelling And Wording SomewhatMeherun Heinowww.flyinglpoa.comTeajsha Cayard - ogs.go.ke (yelp.com) | San Luis Auto Glass, Redwood City, CA - 3017 ... - WhereOrg (whereorg.com) | Spelling And Wording Somewhat (spelling-and-wording-somewhat.prefeituradeolindina.ba.gov.br) | Teajsha Cayard - ogs.go.ke (ogs.go.ke)"
56,Hillside Laundromat,3451 22nd Street,(510) 473-5367,laundry,ATTEMPTED - no likely owned-site hit,,"L & M Factory Automatic Transmissions Service - Redwood City ... (localsolution.com) | L & M Factory Automatic Transmissions Service - Redwood City ... (citysquares.com) | L&M Automatic Transmission | BBB Business Profile | Better ...Robert Johnson, (650) 592-2951, San Carlos, CA — Public ...Guía Telefónica de San Carlos, Alajuela - Página 2951Property valuation of San Isabel Avenue, Pueblo, CO: 2950 ...San Carlos, CA Orthopedists | Sutter Health Doctors (bbb.org) | Robert Johnson, (650) 592-2951, San Carlos, CA — Public ... (clustrmaps.com) | Guía Telefónica de San Carlos, Alajuela - Página 2951 (abctelefonos.com)"
57,Esperpento,"3295 22nd Street, San Francisco, CA",(415) 282-8867,restaurant,ATTEMPTED - no likely owned-site hit,,Joe's Auto Repair - Automotive Repair Shop in Northridge (foursquare.com) | clients.automanager.com (clients.automanager.com) | efthimcompanyrealtors.appfolio.com (efthimcompanyrealtors.appfolio.com) | Silktide (app.index.silktide.com) | Dun & Bradstreet (dnb.com)
58,Eyebrow Star,2651A Mission Street,(415) 301-8558,beauty,ATTEMPTED - no likely owned-site hit,,"Eyebrow Star Beauty and Brows - San Francisco, CAEyebrow Star Beauty and Brows — Lash Artist in San Francisco ...Eyebrow Star Beauty and Brows - 2651 Mission St, San ... - FreshaEyebrow Star Beauty and Brows - Official MapQuestEyebrow Star Beauty And Brows · Usha Bhattarai - OpenGovUSEyebrow Star, 2649A Mission 22nd, San Francisco - FacebookGoogle Maps (yelp.com) | Eyebrow Star Beauty and Brows — Lash Artist in San Francisco ... (lashlookup.com) | Eyebrow Star Beauty and Brows - 2651 Mission St, San ... - Fresha (fresha.com) | Eyebrow Star Beauty and Brows - Official MapQuest (mapquest.com) | Eyebrow Star Beauty And Brows · Usha Bhattarai - OpenGovUS (opengovus.com)"
59,Vanessa's Beauty Salon,3329 23rd Street,(415) 285-1070,beauty,ATTEMPTED - no likely owned-site hit,,"VANESSA'S BEAUTY SALON - San Francisco CA - Hours, Directions ... (loc8nearme.com) | Vanessa's Beauty Salon - San Francisco, CA 94110 (yellowpages.com) | Vanessa's Beauty Salon - San Francisco, CA 94110 | BizMapDir (bizmapdir.com) | Vanessa's Beauty Salon, 3329 23rd St, San Francisco, CA 94110 ... (mapquest.com) | Vanessa’s Beauty Salon | San Francisco CA - Facebook (facebook.com)"
