Route stop,Business,Address,Phone,Category,Google query,Owned website search status,Owned website found,Evidence
11,Découpage Hair,"2317 Broadway, Redwood City, 94063",(415) 730-7843,hairdresser,"""Découpage Hair"" ""Redwood City"" ""(415) 730-7843"" official website",ATTEMPTED - no likely owned-site hit,,"Découpage Hair, Redwood City, CA - Reviews (3), Photos (10 ... (bestprosintown.com) [directory/profile domain] | Découpage Hair in Redwood City, CA 94063 - 650-261... (chamberofcommerce.com) [directory/profile domain] | DÉCOUPAGE HAIR - Redwood City CA - Hours, Directions, Reviews ... (loc8nearme.com) [directory/profile domain] | Découpage Hair - Beauty California (california.beautihost.com) [domain does not match business name tokens] | Decoupage Hair - Redwood City, CA 94063 - The Real Yellow PagesDécoupage Hair Reviews, Beauty in Redwood City, CA - BirdeyeDecoupage Hair - Redwood City, CA - Beauty Salon in ... - Manta (yellowpages.com) [directory/profile domain] | Découpage Hair Reviews, Beauty in Redwood City, CA - Birdeye (reviews.birdeye.com) [directory/profile domain]"
12,Memole & Company,"2317 Broadway Street, Redwood City, 94063",(650) 367-7128,accountant,"""Memole & Company"" ""Redwood City"" ""(650) 367-7128"" official website",ATTEMPTED - no likely owned-site hit,,Memole & Company | TaxBuzz (taxbuzz.com) [domain does not match business name tokens]
13,Perfect 10 Nails,"1049 El Camino Real, Redwood City, 94063",(650) 216-7266,beauty,"""Perfect 10 Nails"" ""Redwood City"" ""(650) 216-7266"" official website",SEARCH ERROR,,"ERROR: ('error sending request for url (https://html.duckduckgo.com/html/)', 'https://html.duckduckgo.com/html/')"
14,Happy Donuts,"1330 El Camino Real, Redwood City, 94063",(650) 365-6585,fast_food,"""Happy Donuts"" ""Redwood City"" ""(650) 365-6585"" official website",ATTEMPTED - no likely owned-site hit,,"Happy Donuts in the city Redwood City (usa-stores.worldorgs.com) [domain does not match business name tokens] | Happy Donuts - Redwood City, CA 94063 - Location, Reviews, Hours... (placewing.com) [directory/profile domain] | Happy Donuts Redwood City CA Donut Shop opening hours and... (openingtimes.co) [domain does not match business name tokens] | Happy Donuts Redwood City: Fresh, Fluffy Donuts and Great ... (heavenlydelightsbakery.com) [domain does not match business name tokens] | Happy Donuts - Redwood City, CAHappy Donuts in Redwood City, CA 94063 - 650-365...Happy Donuts - Updated September 2025Happy Donuts - Redwood City, CA 94063 - The Real Yellow PagesHappy Donuts, Redwood City - Menu, Reviews (189), Photos (33 ...Online Menu of Happy Donuts Restaurant, Redwood City ... (yelp.com) [directory/profile domain] | Happy Donuts in Redwood City, CA 94063 - 650-365... (chamberofcommerce.com) [directory/profile domain]"
15,Perfectly Cut,"1408 El Camino Real, Redwood City, 94063",(650) 839-0130,hairdresser,"""Perfectly Cut"" ""Redwood City"" ""(650) 839-0130"" official website",ATTEMPTED - no likely owned-site hit,,"Perfectly Cut | Redwood City CA - FacebookPerfectly Cut - Redwood City, CA (California) - (650) 839 ...PERFECTLY CUT - Redwood City CA - Hours, Directions, Reviews ...Perfectly Cut Beauty Salon - Redwood City, CAPerfectly Cut - Redwood City, CA 94063 - The Real Yellow PagesPerfectly Cut - Barbershop near Centennial in Redwood City ... (facebook.com) [directory/profile domain] | Perfectly Cut - Redwood City, CA (foursquare.com) [directory/profile domain] | (650) 839-0XXX Redwood City, CA Phone Book + (650) 839-0XXX... (callersmart.com) [domain does not match business name tokens] | Perfectly Cut in Redwood City, CA 94063 - 650-839... (chamberofcommerce.com) [directory/profile domain] | Perfectly Cut - Redwood City, CA (California) - (650) 839 ... (411.info) [domain does not match business name tokens] | PERFECTLY CUT - Redwood City CA - Hours, Directions, Reviews ... (loc8nearme.com) [directory/profile domain]"
16,Muffler Express,"1414 El Camino Real, Redwood City, 94063",(650) 369-1076,car_repair,"""Muffler Express"" ""Redwood City"" ""(650) 369-1076"" official website",ATTEMPTED - no likely owned-site hit,,"Muffler Express - Redwood City, CA 94063 - Location, Reviews... (placewing.com) [directory/profile domain] | Muffler Express in Redwood City, CA 94063 - 650-369... (chamberofcommerce.com) [directory/profile domain] | MUFFLER EXPRESS - Updated April 2026 - 33 Photos & 103 ...Muffler Express in Redwood City, CA – Reviews, Hours, and ...Muffler Express | Redwood City CA - FacebookMUFFLER EXPRESS - Redwood City CA - Hours, Directions ...Muffler Express - Redwood City, CA 94063 - Location, Reviews ...MUFFLER EXPRESS Redwood City CA, 94063 - Company Profile (yelp.com) [directory/profile domain] | Muffler Express in Redwood City, CA – Reviews, Hours, and ... (local.yahoo.com) [directory/profile domain] | Muffler Express | Redwood City CA - FacebookMUFFLER EXPRESS - Redwood City CA - Hours, Directions ...Muffler Express - Redwood City, CA 94063 - Location, Reviews ...MUFFLER EXPRESS Redwood City CA, 94063 - Company Profile (facebook.com) [directory/profile domain] | MUFFLER EXPRESS - Redwood City CA - Hours, Directions ... (loc8nearme.com) [directory/profile domain]"
17,Lynn Auto Machine,"1428 El Camino Real, Redwood City, 94063",(650) 369-7200,car_repair,"""Lynn Auto Machine"" ""Redwood City"" ""(650) 369-7200"" official website",ATTEMPTED - no likely owned-site hit,,"Lynn Auto Machine | BBB Business Profile | Better Business BureauLynn Machine Shop - Redwood City, CA 94063 - The Real Yellow ...LYNN Auto Machine Redwood City CA, 94063 – Manta.comLynn Machine Shop in Redwood City, CA 94063 - 650-369...Service & Repair» Redwood City» CA» US» Lynn Auto Machine (bbb.org) [directory/profile domain] | Lynn Machine Shop - Redwood City, CA 94063 - Location, Reviews... (placewing.com) [directory/profile domain] | Page 3 - Machine Shops in San Jose, CA | CityOf.com (cityof.com) [domain does not match business name tokens] | Lynn Auto Machine - Redwood City, CALynn Auto Machine in Redwood City, CA – Reviews ... - YahooLynn Auto Machine | BBB Business Profile | Better Business BureauLynn Machine Shop - Redwood City, CA 94063 - The Real Yellow ...LYNN Auto Machine Redwood City CA, 94063 – Manta.comLynn Machine Shop in Redwood City, CA 94063 - 650-369...Service & Repair» Redwood City» CA» US» Lynn Auto Machine (yelp.com) [directory/profile domain] | Lynn Auto Machine in Redwood City, CA – Reviews ... - Yahoo (local.yahoo.com) [directory/profile domain] | Lynn Machine Shop - Redwood City, CA 94063 - The Real Yellow ...LYNN Auto Machine Redwood City CA, 94063 – Manta.comLynn Machine Shop in Redwood City, CA 94063 - 650-369...Service & Repair» Redwood City» CA» US» Lynn Auto Machine (yellowpages.com) [directory/profile domain]"
18,Nails Trix Salon,"1540 El Camino Real, Redwood City, 94063",(650) 365-3822,beauty,"""Nails Trix Salon"" ""Redwood City"" ""(650) 365-3822"" official website",ATTEMPTED - no likely owned-site hit,,"Nail Trix in Redwood City, CA 94063 - 650-365... (chamberofcommerce.com) [directory/profile domain] | Nail Trix - Redwood City, CA 94063 - Services and Reviews (salondiscover.com) [directory/profile domain] | NAIL TRIX - Redwood City CA - Hours, Directions, Reviews ... (loc8nearme.com) [directory/profile domain] | Nails Trix - Redwood City, CA 94063 - The Real Yellow Pages (yellowpages.com) [directory/profile domain] | Nail Trix - w2n.net (w2n.net) [domain does not match business name tokens] | NAILS TRIX - Updated September 2024 - 83 Photos & 61 Reviews ... (yelp.com) [directory/profile domain]"
19,Primo Auto Service,"1612 El Camino Real, Redwood City, 94063",(510) 827-0346,car_repair,"""Primo Auto Service"" ""Redwood City"" ""(510) 827-0346"" official website",ATTEMPTED - no likely owned-site hit,,"PRIMO AUTO SERVICE, LLC in Redwood City, CA | Company Info ... (bizapedia.com) [directory/profile domain] | Primo Auto Service, LLC in Redwood City CA - Company Profile (corporationwiki.com) [domain does not match business name tokens] | THE BEST 10 AUTO REPAIR IN REDWOOD CITY, CA - Yelp (yelp.com) [directory/profile domain] | Auto Repair Service in Redwood City, CA - The Real Yellow Pages (yellowpages.com) [directory/profile domain] | 777 Industrial Rd, San Carlos, CA 94070 - BusinessYabBest 30 Auto Repair in Redwood City, CA | superpages.comPrimo Honda - San Carlos, CA - Car Dealer in San Carlos ... (businessyab.com) [domain does not match business name tokens] | Best 30 Auto Repair in Redwood City, CA | superpages.com (superpages.com) [directory/profile domain]"
20,Wash & Dry Coin Laundry,"1708 El Camino Real, Redwood City, 94063",(650) 369-8397,laundry,"""Wash & Dry Coin Laundry"" ""Redwood City"" ""(650) 369-8397"" official website",ATTEMPTED - no likely owned-site hit,,"Lavanderia Coin Laundry in Redwood City, CA 94063 - 650-368... (chamberofcommerce.com) [directory/profile domain] | LAVANDERIA COIN LAUNDRY - Redwood City CA - Hours, Directions ... (loc8nearme.com) [directory/profile domain] | Lavanderia Coin Laundry in Redwood City, CA - Yahoo (local.yahoo.com) [directory/profile domain] | Lavanderia Coin Laundry - Redwood City, CA 94063Lavanderia Coin Laundry, Redwood City, CA - 55 5th Ave ...Lavanderia Coin Laundry, 55 5th Ave, Redwood City, CA 94063 ...Lavanderia Coin Laundry - A Best Laundromat in Redwood City ... (yellowpages.com) [directory/profile domain] | Lavanderia Coin Laundry, Redwood City, CA - 55 5th Ave ... (whereorg.com) [directory/profile domain] | Lavanderia Coin Laundry, 55 5th Ave, Redwood City, CA 94063 ... (mapquest.com) [directory/profile domain]"
21,Faby's Jewelers,"1710 El Camino Real, Redwood City, 94063",(650) 368-4449,jewelry,"""Faby's Jewelers"" ""Redwood City"" ""(650) 368-4449"" official website",ATTEMPTED - no likely owned-site hit,,"Faby's Jewelers Inc. | 1710 El Camino Real Redwood City (jewelrystoredirectory.com) [domain does not match business name tokens] | Faby's Jewelers Inc. - Redwood City, CA 94063 - Location, Reviews... (placewing.com) [directory/profile domain] | Faby's Jewelers Inc. | BBB Business Profile | Better Business Bureau (bbb.org) [directory/profile domain] | Redwood City Jewelry Stores | The Prime Buyer's Report (primebuyersreport.org) [domain does not match business name tokens] | FABY'S JEWELERS INC. - Redwood City CA - Hours, Directions ... (loc8nearme.com) [directory/profile domain] | Faby's Jewelers Inc. in Redwood City, CA 94063 - 650-368...Faby's Jewelers - Redwood City, CA - YelpFabys Jewelers, 1710 El Camino Real Redwood City CAFaby's Jewelers Inc. | 1710 El Camino Real Redwood CityFaby's Jewelers - Redwood City, CA 94063 - The Real Yellow PagesFaby's Jewelers Inc. - Redwood City, CA 94063 - Location ... (chamberofcommerce.com) [directory/profile domain]"
22,Los Temos Taqueria,"1714 El Camino Real, Redwood City, 94063",(650) 780-0979,restaurant,"""Los Temos Taqueria"" ""Redwood City"" ""(650) 780-0979"" official website",ATTEMPTED - no likely owned-site hit,,"Online Menu of Pizza & Taqueria Los Temos Restaurant, Redwood ... (zmenu.com) [directory/profile domain] | Pizza & Taqueria Los Temos, 1714 El Camino Real, Redwood City ... (mapquest.com) [directory/profile domain] | Map & Directions - Pizza & Taqueria Los Temos, Redwood City ... (menupix.com) [directory/profile domain] | TAQUERIA LOS TEMOS - REDWOOD CITY, CA - Company Page (dandb.com) [domain does not match business name tokens] | Pizza & Taqueria Los Temos, Redwood City | Roadtrippers (maps.roadtrippers.com) [domain does not match business name tokens] | Taqueria Los Temos - East Palo Alto, CA 94303 (yellowpages.com) [directory/profile domain]"
23,Languren's Beauty Salon,"1752 El Camino Real, Redwood City, 94063",(650) 366-0980,hairdresser,"""Languren's Beauty Salon"" ""Redwood City"" ""(650) 366-0980"" official website",ATTEMPTED - no likely owned-site hit,,Link to facebook.com (facebook.com) [directory/profile domain]
24,El Zarape,"1808 El Camino Real, Redwood City, 94063",(650) 363-1397,restaurant,"""El Zarape"" ""Redwood City"" ""(650) 363-1397"" official website",ATTEMPTED - no likely owned-site hit,,"Carta de El Zarape Bar, Redwood City (es.restaurantguru.com) [directory/profile domain] | El Zarape Bar, Redwood City 94063, Local business (place123.net) [domain does not match business name tokens]"
25,Elio's Jewelry,"411b Lathrop Street, Redwood City, 94063",(650) 701-1060,jewelry,"""Elio's Jewelry"" ""Redwood City"" ""(650) 701-1060"" official website",ATTEMPTED - no likely owned-site hit,,"Elio's Jewelry Repair | (650) 701-1060 | Redwood City, California (allbiz.com) [directory/profile domain] | ELIOS JEWELRY REPAIR #1 INC. in Redwood City, CA - Bizapedia (bizapedia.com) [directory/profile domain] | MoneyGram - ELIO'S JEWELRY REPAIR in Redwood City, California ... (mystore411.com) [domain does not match business name tokens] | ELIOS JEWELRY REPAIR #1 INC Redwood City CA, 94063 - Cortera (start.cortera.com) [domain does not match business name tokens] | Company profile for Elio's Jewelry | ProspectB2B (prospectb2b.com) [domain does not match business name tokens] | Elios Jewelry Repair #1 Inc. in Redwood City CA - Company Profile (corporationwiki.com) [domain does not match business name tokens]"
26,Ben's Auto Tech,"413 Lathrop Street, Redwood City, 94063",(650) 369-3022,car_repair,"""Ben's Auto Tech"" ""Redwood City"" ""(650) 369-3022"" official website",ATTEMPTED - no likely owned-site hit,,"Bensautosupply: Auto Parts And Supplies Colchester, CT (webstatsdomain.org) [domain does not match business name tokens]"
27,Family Wash and Fold,"1906 El Camino Real, Redwood City, 94063",(650) 299-9511,laundry,"""Family Wash and Fold"" ""Redwood City"" ""(650) 299-9511"" official website",ATTEMPTED - no likely owned-site hit,,"Family Wash | (650) 299-9511 | Redwood City, California - AllBiz (allbiz.com) [directory/profile domain] | FAMILY WASH - Updated May 2026 - 78 Photos & 38 Reviews ...Family Wash - Redwood City, CA 94063 - The Real Yellow PagesFamily Wash 1906 El Camino Real, Redwood City, CA 94063 ...Family Wash & Fold, 1906 El Camino Real, Redwood City, CA ...Family Wash in Redwood City, CA United States - Apple MapsFamily Wash - Redwood City, CA, 94063 - localsolution.com (yelp.com) [directory/profile domain] | Family Wash - Redwood City, CA 94063 - The Real Yellow PagesFamily Wash 1906 El Camino Real, Redwood City, CA 94063 ...Family Wash & Fold, 1906 El Camino Real, Redwood City, CA ...Family Wash in Redwood City, CA United States - Apple MapsFamily Wash - Redwood City, CA, 94063 - localsolution.com (yellowpages.com) [directory/profile domain] | Family Wash 1906 El Camino Real, Redwood City, CA 94063 ... (superpages.com) [directory/profile domain] | Family Wash & Fold, 1906 El Camino Real, Redwood City, CA ... (mapquest.com) [directory/profile domain] | Family Wash in Redwood City, CA United States - Apple Maps (maps.apple.com) [directory/profile domain]"
28,F.C. Painting,"45 Hazel Avenue, Redwood City, 94061",(650) 592-8531,painter,"""F.C. Painting"" ""Redwood City"" ""(650) 592-8531"" official website",ATTEMPTED - no likely owned-site hit,,"F.C. Painting, Inc. | Redwood City, CA 94061 - HomeAdvisor (homeadvisor.com) [directory/profile domain] | F.C.Painting Inc. in Redwood City, California (city-data.com) [domain does not match business name tokens] | F C Painting | Redwood City CA | Read Reviews + Get a Bid ... (buildzoom.com) [domain does not match business name tokens] | F C Painting Redwood City CA, 94061 – Manta.com (manta.com) [directory/profile domain] | F.C. Painting - Painters - Redwood City, CA - VerView (verview.com) [domain does not match business name tokens] | Best 30 Painting Contractors in Redwood City, CA with Reviews ... (yellowpages.com) [directory/profile domain]"
29,Tammy's Joyeria y Paqueteria,"2315 El Camino Real, Redwood City, 94063",(650) 366-8420,jewelry,"""Tammy's Joyeria y Paqueteria"" ""Redwood City"" ""(650) 366-8420"" official website",SEARCH ERROR,,"ERROR: ('error sending request for url (https://html.duckduckgo.com/html/)', 'https://html.duckduckgo.com/html/')"
30,Chu's Florist & Birds,"2325 El Camino Real, Redwood City, 94063",(650) 368-1613,florist,"""Chu's Florist & Birds"" ""Redwood City"" ""(650) 368-1613"" official website",ATTEMPTED - no likely owned-site hit,,"Chu's Florist & Birds, flower shop, California... — Yandex Maps (yandex.com) [domain does not match business name tokens] | Chu's Florist & Bird Shop - 2325 El Camino Real, Redwood City, CA... (et.cybo.com) [domain does not match business name tokens]"
31,Ray's Auto Repair,"2333 El Camino Real, Redwood City, 94063",(650) 367-8218,car_repair,"""Ray's Auto Repair"" ""Redwood City"" ""(650) 367-8218"" official website",ATTEMPTED - no likely owned-site hit,,Ray's Auto Repair & Tires | Profile.place (rays-auto-repair-tires.profile.place) [domain does not match business name tokens] | Rays Auto Repair & Tires in the city Redwood City (usa-services.worldorgs.com) [domain does not match business name tokens]
32,Stuttgart Motors,"2315 El Camino Real, Redwood City, 94063",(650) 364-2989,car_repair,"""Stuttgart Motors"" ""Redwood City"" ""(650) 364-2989"" official website",REVIEW - likely owned-site candidate,https://www.stuttgart-motors.com/,"Stuttgart Motors | Redwood City, CA | Verified Customer Reviews (surecritic.com) [domain does not match business name tokens] | Stuttgart Motors - Redwood City - (650) 364-2989 (et.cybo.com) [domain does not match business name tokens] | Stuttgart Motors | Schedule Your Service Today (stuttgart-motors.com) [domain/name match; phone=True; city=True; address_tokens=6]"
33,Castillo's Auto Electric,"24 Willow Street, Redwood City, 94063",(650) 361-8705,car_repair,"""Castillo's Auto Electric"" ""Redwood City"" ""(650) 361-8705"" official website",ATTEMPTED - no likely owned-site hit,,"Castillos Auto Electric - Redwood City, CAAuto Electric Castillo in Redwood City, CA 94063 - 650-361...Auto Electric Castillo - Redwood City, CA 94063Auto Electric Castillo 24 Willow St Ste 5, Redwood City, CA ...Castillo Auto Electric, 24 Willow St, Redwood City, CA 94063 ...AUTO ELECTRIC CASTILLO Redwood City CA, 94063 - CorteraAuto Electric Castillo Redwood City CA, 94063 – Manta.com (yelp.com) [directory/profile domain] | Auto Electric Castillo in Redwood City, CA 94063 - 650-361... (chamberofcommerce.com) [directory/profile domain] | Auto Electric Castillo - Redwood City, CA 94063 (yellowpages.com) [directory/profile domain] | Auto Electric Castillo 24 Willow St Ste 5, Redwood City, CA ... (superpages.com) [directory/profile domain] | Castillo Auto Electric, 24 Willow St, Redwood City, CA 94063 ... (mapquest.com) [directory/profile domain] | AUTO ELECTRIC CASTILLO Redwood City CA, 94063 - Cortera (start.cortera.com) [domain does not match business name tokens]"
34,HK Smog,"24 Willow Street, Redwood City, 94063",(650) 216-0051,car_repair,"""HK Smog"" ""Redwood City"" ""(650) 216-0051"" official website",REVIEW - likely owned-site candidate,http://hksmog.com/,HK Smog (hksmog.com) [domain/name match; phone=True; city=True; address_tokens=4]
35,Padilla's Auto Repair,"24 Willow Street, Redwood City, 94063",(650) 364-2930,car_repair,"""Padilla's Auto Repair"" ""Redwood City"" ""(650) 364-2930"" official website",ATTEMPTED - no likely owned-site hit,,"Padilla's Auto Repair | Redwood City | California | Car Union (carunion.org) [domain does not match business name tokens] | THE BEST 10 AUTO REPAIR IN REDWOOD CITY, CA - Yelp (yelp.com) [directory/profile domain] | Auto Repair Service in Redwood City, CA - The Real Yellow Pages (yellowpages.com) [directory/profile domain] | Best 30 Auto Repair in Redwood City, CA | superpages.com (superpages.com) [directory/profile domain] | Auto repair, Redwood City, CA - Cuschieri Auto (650autorepair.com) [domain does not match business name tokens] | Redwood City, CA Local Automotive Repair Shops | AutoCodes.com (autocodes.com) [directory/profile domain]"
