Route stop,Business,Address,Phone,Category,Accepted profile link,Profile link search status,Profile link search evidence
63,La Venus,"363 Main Street, Los Altos, CA, 94022",(650) 947-1336,beauty,https://www.yelp.com/biz/la-venus-los-altos,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
64,Cambric Ltd,197,(650) 941-2106,clothes,,SEARCHED - no high-confidence profile link found,No high-confidence Yelp/Booksy/social profile link was retained.
65,"Curtis Miyahara, DMD","129 2nd Street, Los Altos, 94022",(650) 948-1183,dentist,https://www.yelp.com/biz/miyahara-curtis-k-dmd-los-altos,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
66,Nancy's Tailor,"220 State Street, Los Altos, CA, 94022",(650) 917-1648,tailor,,SEARCHED - no high-confidence profile link found,No high-confidence Yelp/Booksy/social profile link was retained.
67,The Pho Cabin,200,(650) 917-1328,restaurant,https://www.yelp.com/biz/the-pho-cabin-los-altos,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
68,Harold's Jewelry,"164 Main Street, Los Altos, CA, 94022",(650) 948-9395,jewelry,,SEARCHED - no high-confidence profile link found,No high-confidence Yelp/Booksy/social profile link was retained.
69,Mikado,"161 Main Street, Los Altos",(650) 917-8388,restaurant,https://www.yelp.com/biz/mikado-los-altos,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
70,Tacos Al Vapor,"131 Main Street, Los Altos, ca, 94022",(650) 619-9431,fast_food,,SEARCHED - no high-confidence profile link found,No high-confidence Yelp/Booksy/social profile link was retained.
71,Ann's Nails,"105 Main Street, Los Altos, CA, 94022",(650) 949-2446,beauty,,SEARCHED - no high-confidence profile link found,No high-confidence Yelp/Booksy/social profile link was retained.
72,NAR,286 West El Camino Real,(650) 226-7900,restaurant,https://www.yelp.com/biz/nar-restaurant-mountain-view?start=30,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
73,ICON Wintow Tint,"101 East El Camino Real, Mountain View, CA, 94040",(650) 669-7722,car_repair,https://www.yelp.com/biz/icon-window-tint-mountain-view-2,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
74,"Liem Tran, DDS",805 East El Camino Real,(650) 254-1436,dentist,https://www.yelp.com/biz/liem-tran-dds-mountain-view,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
75,Sunny Beauty Salon & Nails,"1173 West El Camino Real, Sunnyvale, CA, 94087",(408) 732-6218,hairdresser,https://www.yelp.com/biz/sunny-beauty-salon-and-nails-sunnyvale,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
76,Lozano's Brushless Car Wash,"610 Grape Avenue, Sunnyvale, CA, 94087",(408) 245-7737,car_wash,,SEARCHED - no high-confidence profile link found,No high-confidence Yelp/Booksy/social profile link was retained.
77,TC Accounting,"510 South Mathilda Avenue, Sunnyvale, CA",(408) 736-0777,accountant,,SEARCHED - no high-confidence profile link found,No high-confidence Yelp/Booksy/social profile link was retained.
78,Noodle Talk,150 West El Camino Real,(408) 530-0156,restaurant,,SEARCHED - no high-confidence profile link found,No high-confidence Yelp/Booksy/social profile link was retained.
79,Hendy Auto Services,111 North Sunnyvale Avenue,(408) 738-1916,car_repair,https://www.yelp.com/biz/hendy-auto-repair-sunnyvale,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
80,TJ Automotive,"135 North Wolfe Road, Sunnyvale, CA, 94086",(408) 773-0710,car_repair,https://www.yelp.com/biz/tj-automotive-sunnyvale,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
81,Famous Food Restaurant,872 Old San Francisco Road,(408) 738-3388,restaurant,,SEARCHED - no high-confidence profile link found,No high-confidence Yelp/Booksy/social profile link was retained.
82,Taqueria Patzcuaro,"603 Old San Francisco Road, Sunnyvale, CA, 94086",(408) 469-1228,fast_food,https://www.yelp.com/biz/taqueria-patzcuaro-sunnyvale,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
83,Pearly Bright Dental,"1110 Sunnyvale-Saratoga Road, Sunnyvale, California, 94087 (reverse-geocoded approximate)",(408) 736-6688,dentist,https://www.yelp.com/biz/pearly-bright-dental-linda-yang-dds-sunnyvale,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
84,Thai pepper cuisine,"103 East Fremont Avenue, Sunnyvale, 94087",(408) 739-7717,restaurant,https://www.facebook.com/p/Thai-Pepper-Cuisine-100057626179567/,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
85,Super Burrito,"1671 Hollenbeck Avenue, Sunnyvale, 94087",(408) 737-7791,fast_food,https://www.yelp.com/biz/super-burrito-sunnyvale,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
86,Bento Express,"1677 Hollenbeck Avenue, 94087",(408) 720-0072,fast_food,https://www.yelp.com/biz/bento-express-sunnyvale,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
87,Tasty Pizza,"21000 Stevens Creek Boulevard, Cupertino, CA, 95014",(408) 816-8800,fast_food,https://www.yelp.com/biz/tasty-pizza-cupertino,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
88,The X-Pot,"20950 Stevens Creek Boulevard, Cupertino, 95014-2122",(408) 703-3247,restaurant,,SEARCHED - no high-confidence profile link found,No high-confidence Yelp/Booksy/social profile link was retained.
89,Hummingbird Day Spa,"10601 South De Anza Boulevard, Cupertino, CA, 95014-4451",(408) 320-1558,beauty,https://www.fresha.com/lvp/hummingbird-day-spa-south-de-anza-boulevard-cupertino-vv6gMJ,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
90,"John K. S. Tong, D.D.S.","10311 South De Anza Boulevard, Cupertino, CA, 95014-3028",(408) 996-8000,dentist,https://www.yelp.com/biz/tong-john-dds-cupertino,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
91,Sushi Kuni,"10211 South De Anza Boulevard, Cupertino, CA, 95014-3007",(408) 257-5864,restaurant,https://www.yelp.com/biz/sushi-kuni-cupertino,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
92,Calihair,"20387 Stevens Creek Boulevard, Cupertino, CA, 95014",(408) 873-7661,hairdresser,https://www.fresha.com/lvp/calihair-by-appointment-only-stevens-creek-boulevard-cupertino-zn5wE4,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
93,"Family & Cosmetic Dentistry Ellen Peng, D.d.s.","19668 Stevens Creek Boulevard, 95014",(408) 257-8838,dentist,,SEARCHED - no high-confidence profile link found,No high-confidence Yelp/Booksy/social profile link was retained.
94,Nails A-1,"5175 Moorpark Avenue, San Jose, 95129",(408) 253-4663,beauty,https://www.yelp.com/biz/nails-a1-san-jose,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
95,Royal Skincare & Hair Design,"5163 Moorpark Avenue, San Jose, CA, 95129",(408) 893-5832,hairdresser,https://www.yelp.com/biz/royal-hair-design-san-jose-2,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
96,What the Falafel,"991 Saratoga Avenue, San Jose, CA, 95129",(408) 253-1111,restaurant,,SEARCHED - no high-confidence profile link found,No high-confidence Yelp/Booksy/social profile link was retained.
97,Kiely 2 Wash & Dry,"975 Saratoga Avenue, San Jose, CA, 95129",(408) 252-2423,laundry,,SEARCHED - no high-confidence profile link found,No high-confidence Yelp/Booksy/social profile link was retained.
98,Goody Goody,"1080 Saratoga Avenue, San Jose, CA, 95129",(669) 342-7776,pet,,SEARCHED - no high-confidence profile link found,No high-confidence Yelp/Booksy/social profile link was retained.
99,Synergy Personal Training,"1130 Saratoga Avenue, San Jose, CA, 95129",(408) 247-2903,fitness_centre,,SEARCHED - no high-confidence profile link found,No high-confidence Yelp/Booksy/social profile link was retained.
100,Amatos Cheesesteaks,"1162 Saratoga Avenue, San Jose, 95117",(408) 246-3818,fast_food,https://www.yelp.com/biz/amatos-cheesesteaks-san-jose,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
101,Formosa Aroma,"5205 Prospect Road, San Jose, CA, 95129",(408) 207-2740,cafe,https://www.yelp.com/biz/formosa-aroma-san-jose,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
102,Campbell Everyday Smog - Star Station,"1533 West Campbell Avenue, 95008",(408) 378-8899,car_repair,https://www.facebook.com/Campbelleverydaysmog/,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
103,Two Pesos Taqueria,"1452 Pollard Road, Los Gatos, CA, 95032",(408) 866-4354,restaurant,https://www.yelp.com/biz/two-pesos-taqueria-los-gatos,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
104,Rural Supply,"110 South Santa Cruz Avenue, Los Gatos, CA, 95030",(408) 354-3910,hardware,https://www.yelp.com/biz/rural-supply-hardware-los-gatos,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
105,T-Bird's Pizza,"444 North Santa Cruz Avenue, Los Gatos, CA, 95030",(408) 395-2525,restaurant,https://www.yelp.com/biz/t-birds-pizza-of-los-gatos-los-gatos,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
106,Mama's Bakery,"473 North Santa Cruz Avenue, Los Gatos, CA, 95030",(408) 206-0282,bakery,,SEARCHED - no high-confidence profile link found,No high-confidence Yelp/Booksy/social profile link was retained.
107,Bob's Garage,"545 North Santa Cruz Avenue, Los Gatos, CA, 95030",(408) 345-8232,car_repair,https://www.yelp.com/biz/bobs-garage-los-gatos,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
108,Orange Coast Title,"652 North Santa Cruz Avenue, Los Gatos, CA, 95030",(408) 827-4950,lawyer,https://www.yelp.com/biz/orange-coast-title-company-los-gatos-2,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
109,Preferred Image of Los Gatos,"663 Industrial Way, Los Gatos, CA, 95030",(408) 354-7673,car_repair,https://www.yelp.com/biz/the-preferred-image-of-los-gatos-los-gatos,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
110,Heartbeat Café,"14392 Union Avenue, San Jose, CA, 95124",(408) 369-9078,restaurant,https://www.yelp.com/biz/heartbeat-cafe-san-jose,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
111,Harbor Fish & Chips,"2632 Union Avenue, San Jose, CA, 95124",(408) 559-4499,fast_food,https://www.yelp.com/biz/harbor-fish-and-chips-san-jose-2?start=100,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
112,Diamond Shoe Repair,"2614 Union Avenue, San Jose, CA, 95124",(408) 377-4940,tailor,https://www.yelp.com/biz/diamond-shoe-repair-san-jose,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
113,Vogue Salon & Lounge,"2606 Union Avenue, San Jose, CA, 95124",(408) 457-9940,hairdresser,https://www.yelp.com/biz/vogue-salon-and-lounge-san-jose,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
114,A&P Auto Repair,"1868 Almaden Road, San Jose, CA, 95125",(408) 307-3861,car_repair,https://www.yelp.com/biz/a-and-p-auto-repair-san-jose-2,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
115,T-Safety Automotive,"193 Barnard Avenue, San Jose, CA, 95125",(408) 294-1600,car_repair,,SEARCHED - no high-confidence profile link found,No high-confidence Yelp/Booksy/social profile link was retained.
116,Michael J's Collision Centers,"1577 Almaden Road, San Jose, CA, 95125",(408) 279-3222,car_repair,https://www.yelp.com/biz/michael-js-collision-centers-san-jose-2?start=220,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
117,Thai Spice,"1102 Bird Avenue, San Jose, CA, 95125",(408) 277-7500,restaurant,https://www.yelp.com/biz/thai-spice-san-jose-2?start=200,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
118,Sweet Mango,"1040 Willow Street, San Jose, CA, 95125",(408) 293-2268,restaurant,https://www.yelp.com/biz/sweet-mango-san-jose,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
119,Los Dubon Inc.,"1182 Lincoln Avenue, San Jose, CA, 95125",(408) 320-2270,restaurant,https://www.instagram.com/pupuserialosdubon/,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
120,"Robert A Gong-Guy, DDS","1660 Westwood Drive, San Jose, CA, 95125",(408) 679-1703,dentist,,SEARCHED - no high-confidence profile link found,No high-confidence Yelp/Booksy/social profile link was retained.
121,La Superior Panadería y Taquería,"1098 Leigh Avenue, San Jose, CA, 95126",(408) 320-1999,bakery,,SEARCHED - no high-confidence profile link found,No high-confidence Yelp/Booksy/social profile link was retained.
122,Straight Edge,"1645 South Bascom Avenue, Campbell, CA, 95008",(408) 832-6109,hairdresser,https://booksy.com/en-us/178677_straight-edge-barbershop_barber-shop_103637_campbell,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
123,T Lashes LLC,"1645 South Bascom Avenue, Campbell, CA, 95008",+1-408-917-8228;+1-408-618-1122,beauty,https://www.vagaro.com/tlashesllc,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
124,Hollywood Nails,"1639 South Bascom Avenue, Campbell, California, 95008 (reverse-geocoded approximate)",(408) 377-8185,beauty,https://www.fresha.com/a/hollywood-nails-englewood-2828-south-mccall-road-ca4utoxo,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
125,Patricia S. Nakamura Electrolysis,"1639 South Bascom Avenue, Campbell, California, 95008 (reverse-geocoded approximate)",(408) 371-0488,beauty,https://www.yelp.com/biz/nakamura-patricia-s-electrolysis-and-skin-care-campbell,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
126,the garret,"1777 South Bascom Avenue, 95008",(408) 555-7930,restaurant,https://www.yelp.com/biz/the-garret-of-campbell-campbell,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
127,Serendipity Hair Salon,"2188 South Bascom Avenue, Campbell, CA, 95008",(408) 371-9015,hairdresser,https://www.yelp.com/biz/serendipity-full-service-salon-campbell,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
128,Happy Hair Salon,"2205 South Bascom Avenue, Campbell, CA, 95008",(408) 879-0500,hairdresser,https://www.yelp.com/biz/happy-hair-salon-campbell,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
129,Mo's,"278 East Campbell Avenue, Campbell, CA, 95008",(408) 871-1300,restaurant,https://booking.toasttab.com/restaurants/5d5f4676-c6b4-40a6-9d34-d224cc52c64f/findTime,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
130,JCM Electric,535 Salmar Avenue,(408) 628-4304,electrician,https://www.yelp.com/biz/jcm-electric-campbell,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
131,Kaizen,"330 East Hamilton Avenue, Campbell, CA, 95008",(408) 370-1600,restaurant,https://www.yelp.com/biz/kaizen-japanese-bar-and-grill-campbell,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
